time,fidelity,trace,purity
0.0,0.9505429382382411,1.000000000000004,0.9999999999996998
0.1,0.9552493999318454,1.0000000000000038,0.9995787660297543
0.2,0.9595079825787709,1.0000000000000036,0.9992739745365057
0.30000000000000004,0.9633613075055077,1.000000000000003,0.9990607034199978
0.4,0.9668479400830701,1.0000000000000027,0.9989189112035254
0.5,0.9700027757021918,1.0000000000000024,0.9988325177813329
0.6000000000000001,0.9728573890181257,1.0000000000000022,0.998788655086127
0.7000000000000001,0.9754403499604052,1.000000000000002,0.9987770565621747
0.8,0.9777775096703069,1.0000000000000018,0.9987895599991778
0.9,0.9798922592277511,1.0000000000000016,0.9988197029231363
1.0,0.9818057637571023,1.0000000000000018,0.998862393533511
1.1,0.9835371742548399,1.0000000000000013,0.998913643283484
1.2000000000000002,0.9851038192591731,1.0000000000000013,0.9989703497392503
1.3,0.9865213782798733,1.000000000000001,0.9990301204329568
1.4000000000000001,0.9878040387240768,1.000000000000001,0.9990911301225087
1.5,0.9889646378886272,1.0000000000000009,0.9991520052625892
1.6,0.9900147914400536,1.0000000000000009,0.9992117306268146
1.7000000000000002,0.9909650096680679,1.0000000000000009,0.9992695739505872
1.8,0.9918248026760742,1.0000000000000007,0.9993250252243744
1.9000000000000001,0.9926027755614844,1.0000000000000007,0.9993777478866839
2.0,0.9933067145384209,1.0000000000000004,0.9994275396753467
2.1,0.9939436648647668,1.0000000000000004,0.9994743013086346
2.2,0.9945200013534756,1.0000000000000004,0.9995180115070452
2.3000000000000003,0.9950414921738377,1.0000000000000004,0.999558707143842
2.4000000000000004,0.9955133565812646,1.0000000000000004,0.999596467536757
2.5,0.995940317153343,1.0000000000000002,0.9996314020788362
2.6,0.9963266470549856,1.0000000000000002,0.999663640556528
2.7,0.996676212805699,1.0000000000000002,0.9996933256252828
2.8000000000000003,0.9969925129770072,1.0000000000000002,0.9997206070132358
2.9000000000000004,0.9972787132073386,1.0000000000000002,0.9997456371054172
3.0,0.9975376778847922,1.0000000000000002,0.9997685676262883
3.1,0.9977719988149027,1.0000000000000002,0.9997895471938849
3.2,0.9979840211602953,1.0,0.9998087195611419
3.3000000000000003,0.9981758669118665,1.0000000000000002,0.9998262223971922
3.4000000000000004,0.9983494561263794,1.0000000000000002,0.9998421864893275
3.5,0.9985065261430377,1.0000000000000002,0.9998567352705172
3.6,0.9986486489713626,1.0000000000000002,0.9998699845963988
3.7,0.9987772470243865,1.0,0.9998820427105615
3.8000000000000003,0.9988936073546508,1.0,0.9998930103503425
3.9000000000000004,0.9989988945354475,1.0,0.999902980954473
4.0,0.9990941623162729,1.0,0.9999120409430211
4.1000000000000005,0.9991803641690963,1.0,0.9999202700457078
4.2,0.9992583628310358,1.0,0.9999277416605774
4.3,0.9993289389389148,1.0,0.9999345232289562
4.4,0.9993927988421429,0.9999999999999999,0.9999406766159016
4.5,0.9994505816720958,0.9999999999999998,0.9999462584883796
4.6000000000000005,0.9995028657387577,1.0,0.9999513206849682
4.7,0.9995501743186402,0.9999999999999998,0.9999559105730375
4.800000000000001,0.9995929808919115,0.9999999999999999,0.9999600713905377
4.9,0.9996317138811467,1.0,0.9999638425704654
5.0,0.9996667609391179,0.9999999999999999,0.9999672600466767
